intervenant,parti,intervention,text_cleaned,emotions
Valérie Rabault,SOC,"
La parole est à M. Olivier Marleix, pour soutenir l'amendement n° 309 rectifié . ",la parole est à m. olivier marleix pour soutenir l'amendement n°  rectifié .,"[{'label': 'joy', 'score': 0.7917216420173645}]"
Valérie Rabault,SOC,"
La parole est à Mme Sophia Chikirou, pour un rappel au règlement. ",la parole est à mme sophia chikirou pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.7355750799179077}]"
Sophia Chikirou,LFI,"
Il est fondé sur l'article 98, que je me fais un plaisir de vous lire : « Le Gouvernement, les commissions saisies au fond et les députés ont le droit de présenter des amendements aux textes déposés sur le bureau de l'Assemblée ainsi qu'aux textes adoptés par les commissions. »Je vois sur le tableau d'affichage le nom de M. Meyer Habib qui, tout le monde le sait, n'est plus député depuis huit jours. ",il est fondé sur l'article  que je me fais un plaisir de vous lire  « le gouvernement les commissions saisies au fond et les députés ont le droit de présenter des amendements aux textes déposés sur le bureau de l'assemblée ainsi qu'aux textes adoptés par les commissions. »je vois sur le tableau d'affichage le nom de m. meyer habib qui tout le monde le sait n'est plus député depuis huit jours.,"[{'label': 'joy', 'score': 0.8234638571739197}]"
Sophia Chikirou,LFI,"
La présidente de l'Assemblée a peut-être jugé que l'amendement restait recevable – ou elle considère peut-être qu'elle peut aménager le règlement à son gré et selon sa seule appréciation. Moi, je me demande si l'amendement de M. Meyer Habib mérite de figurer au tableau. ",la présidente de l'assemblée a peutêtre jugé que l'amendement restait recevable – ou elle considère peutêtre qu'elle peut aménager le règlement à son gré et selon sa seule appréciation. moi je me demande si l'amendement de m. meyer habib mérite de figurer au tableau.,"[{'label': 'joy', 'score': 0.9735475778579712}]"
Olivier Marleix,LR,"
Je suis toujours vivant ! ",je suis toujours vivant ,"[{'label': 'joy', 'score': 0.8613719940185547}]"
Valérie Rabault,SOC,"
Il ne vous aura pas échappé que je n'ai pas appelé M. Meyer Habib pour soutenir l'amendement n° 309 rectifié : j'ai tout de suite donné la parole à M. Marleix. ",il ne vous aura pas échappé que je n'ai pas appelé m. meyer habib pour soutenir l'amendement n°  rectifié  j'ai tout de suite donné la parole à m. marleix.,"[{'label': 'joy', 'score': 0.7758783102035522}]"
Sophia Chikirou,LFI,"
M. Habib peut-il présenter un amendement en son nom ? ",m. habib peutil présenter un amendement en son nom ,"[{'label': 'joy', 'score': 0.7698028683662415}]"
Valérie Rabault,SOC,"
Le nom de M. Meyer Habib est rayé. Il apparaît sur le tableau mais c'est la présidence qui fait foi, or j'ai donné la parole à M. Marleix, et à lui seul. Monsieur Marleix, vous pouvez soutenir l'amendement. ",le nom de m. meyer habib est rayé. il apparaît sur le tableau mais c'est la présidence qui fait foi or j'ai donné la parole à m. marleix et à lui seul. monsieur marleix vous pouvez soutenir l'amendement.,"[{'label': 'joy', 'score': 0.5289583802223206}]"
Olivier Marleix,LR,"
Je veux seulement rassurer Mme Chikirou : nous sommes neuf cosignataires de cet amendement, tous membres de l'Assemblée nationale… ",je veux seulement rassurer mme chikirou  nous sommes neuf cosignataires de cet amendement tous membres de l'assemblée nationale…,"[{'label': 'anger', 'score': 0.47714588046073914}]"
Ugo Bernalicis,LFI,"
Jusqu'au prochain bureau ! ",jusqu'au prochain bureau ,"[{'label': 'anger', 'score': 0.7017227411270142}]"
Olivier Marleix,LR,"
…et en parfaite santé.L'amendement est défendu. ",…et en parfaite santé.l'amendement est défendu.,"[{'label': 'anger', 'score': 0.6019983291625977}]"
Valérie Rabault,SOC,"
La parole est à Mme Véronique Louwagie, pour soutenir l'amendement n° 936 . ",la parole est à mme véronique louwagie pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.4760953187942505}]"
Véronique Louwagie,LR,"
Il a été déposé par M. Yannick Neuder et tend à remplacer l'adjectif « âgés » par un âge précis, en l'espèce supérieur à 55 ans.L'absence de définition juridique est susceptible de poser une difficulté, il faut donc déterminer un âge plancher, afin d'élaborer ensuite des dispositifs à même d'améliorer l'emploi des seniors.Pour y parvenir, un engagement fort du Gouvernement sera nécessaire. Au-delà du monde économique, il faudra probablement que la nation tout entière se saisisse du sujet, qui concerne toute une génération. Inscrire cet objectif dans les textes n'est pas difficile, il n'en va pas de même de l'application de mesures à même de produire des effets. ",il a été déposé par m. yannick neuder et tend à remplacer l'adjectif « âgés » par un âge précis en l'espèce supérieur à  ans.l'absence de définition juridique est susceptible de poser une difficulté il faut donc déterminer un âge plancher afin d'élaborer ensuite des dispositifs à même d'améliorer l'emploi des seniors.pour y parvenir un engagement fort du gouvernement sera nécessaire. audelà du monde économique il faudra probablement que la nation tout entière se saisisse du sujet qui concerne toute une génération. inscrire cet objectif dans les textes n'est pas difficile il n'en va pas de même de l'application de mesures à même de produire des effets.,"[{'label': 'fear', 'score': 0.5687696933746338}, {'label': 'anger', 'score': 0.6517524719238281}]"
Valérie Rabault,SOC,"
Quel est l'avis de la commission sur ces amendements en discussion commune ? ",quel est l'avis de la commission sur ces amendements en discussion commune ,"[{'label': 'anger', 'score': 0.5790975093841553}]"
Stéphanie Rist,REN,"
Tous ces amendements tendent à expliciter l'expression « salariés âgés », en définissant un âge. Je vous invite à lire le rapport sur l'emploi des travailleurs expérimentés de MM. Didier Martin et Stéphane Viry. Ils ont mis en évidence que des discriminations existent dès l'âge de 45 ans. En choisissant par exemple un seuil de 54 ans, on exclut toute une partie des gens considérés comme des seniors.Avis défavorable. ",tous ces amendements tendent à expliciter l'expression « salariés âgés » en définissant un âge. je vous invite à lire le rapport sur l'emploi des travailleurs expérimentés de mm. didier martin et stéphane viry. ils ont mis en évidence que des discriminations existent dès l'âge de  ans. en choisissant par exemple un seuil de  ans on exclut toute une partie des gens considérés comme des seniors.avis défavorable.,"[{'label': 'joy', 'score': 0.6432473659515381}]"
Valérie Rabault,SOC,"
Quel est l'avis du Gouvernement ? ",quel est l'avis du gouvernement ,"[{'label': 'joy', 'score': 0.5266515612602234}]"
Sophia Chikirou,LFI,"
On n'entend pas ! ",on n'entend pas ,"[{'label': 'anger', 'score': 0.8405348658561707}]"
Maud Bregeon,REN,"
Si vous parliez moins, aussi ! ",si vous parliez moins aussi ,"[{'label': 'joy', 'score': 0.6834049224853516}]"
Frédéric Boccaletti,RN,"
Si vous faisiez moins de bruit ! ",si vous faisiez moins de bruit ,"[{'label': 'joy', 'score': 0.603053867816925}]"
Valérie Rabault,SOC,"
Merci monsieur le ministre. ",merci monsieur le ministre.,"[{'label': 'anger', 'score': 0.646457850933075}]"
Valérie Rabault,SOC,"
Excusez-moi, j'ai cru que vous aviez replacé le micro. ",excusezmoi j'ai cru que vous aviez replacé le micro.,"[{'label': 'joy', 'score': 0.7328656911849976}]"
Valérie Rabault,SOC,"
Seul M. le ministre a la parole. ",seul m. le ministre a la parole.,"[{'label': 'joy', 'score': 0.4962957501411438}]"
Valérie Rabault,SOC,"
Comme il y a plusieurs amendements en discussion commune, je vais donner la parole à un orateur par groupe.La parole est à M. Ugo Bernalicis. ",comme il y a plusieurs amendements en discussion commune je vais donner la parole à un orateur par groupe.la parole est à m. ugo bernalicis.,"[{'label': 'anger', 'score': 0.5682768225669861}]"
Ugo Bernalicis,LFI,"
Contrairement au ministre, je vais m'obliger à dire ce que je pense – c'est bizarre, un ministre qui explique qu'il ne dira pas ce qu'il pense. ",contrairement au ministre je vais m'obliger à dire ce que je pense – c'est bizarre un ministre qui explique qu'il ne dira pas ce qu'il pense.,"[{'label': 'fear', 'score': 0.8556676506996155}]"
Maud Bregeon,REN,"
Vous faites semblant de ne pas comprendre ! ",vous faites semblant de ne pas comprendre ,"[{'label': 'joy', 'score': 0.7417443990707397}]"
Ugo Bernalicis,LFI,"
Y aurait-il un agenda caché, une volonté délibérée de faire trimer deux ans de plus tout le pays ? La question se pose. ",y auraitil un agenda caché une volonté délibérée de faire trimer deux ans de plus tout le pays  la question se pose.,"[{'label': 'joy', 'score': 0.4805922508239746}]"
Maud Petit,MODEM,"
Ce n'est pas possible ! ",ce n'est pas possible ,"[{'label': 'joy', 'score': 0.9481812715530396}]"
Ugo Bernalicis,LFI,"
Je vous trouve un peu éteints, dans la majorité ! C'est peut-être pour ça que vous ne voulez pas venir bosser demain et dimanche. Avez-vous reçu des consignes ? ",je vous trouve un peu éteints dans la majorité  c'est peutêtre pour ça que vous ne voulez pas venir bosser demain et dimanche. avezvous reçu des consignes ,"[{'label': 'joy', 'score': 0.5501526594161987}]"
Ugo Bernalicis,LFI,"
Vous savez, nous pouvons venir travailler. Vous pouvez prendre la parole, mais vous n'avez aucun avis sur ces amendements, qui sont de repli. Moi, les amendements de repli me dérangent. Je ne voudrais pas qu'on puisse donner du crédit à votre procédé. J'irai donc droit au but. ",vous savez nous pouvons venir travailler. vous pouvez prendre la parole mais vous n'avez aucun avis sur ces amendements qui sont de repli. moi les amendements de repli me dérangent. je ne voudrais pas qu'on puisse donner du crédit à votre procédé. j'irai donc droit au but.,"[{'label': 'anger', 'score': 0.5521561503410339}]"
Nicolas Forissier,LR,"
Ça va nous changer ! ",ça va nous changer ,"[{'label': 'anger', 'score': 0.6266350150108337}]"
Ugo Bernalicis,LFI,"
Vous nous expliquez que l'index seniors est nécessaire pour améliorer l'emploi des seniors. Dans le même temps, vous nous expliquez que le pays ne connaît pas de problème et que nous sommes dans une situation de plein emploi. ",vous nous expliquez que l'index seniors est nécessaire pour améliorer l'emploi des seniors. dans le même temps vous nous expliquez que le pays ne connaît pas de problème et que nous sommes dans une situation de plein emploi.,"[{'label': 'joy', 'score': 0.6848203539848328}]"
Jean-René Cazeneuve,REN,"
Non, non, non ! ",non non non ,"[{'label': 'anger', 'score': 0.7436113953590393}]"
Ugo Bernalicis,LFI,"
C'est bizarre : si nous avions atteint le plein emploi, nous n'aurions pas besoin d'un index seniors ! ",c'est bizarre  si nous avions atteint le plein emploi nous n'aurions pas besoin d'un index seniors ,"[{'label': 'fear', 'score': 0.7599526643753052}]"
Ugo Bernalicis,LFI,"
Je ne sais pas si l'analyse est assez subtile et intelligente pour vous, chers collègues de la majorité , ",je ne sais pas si l'analyse est assez subtile et intelligente pour vous chers collègues de la majorité ,"[{'label': 'joy', 'score': 0.8440725207328796}]"
Ugo Bernalicis,LFI,"
mais la question mérite d'être posée. Vous nous avez déjà fait le coup de l'index sur un autre sujet majeur : où en est l'index de l'égalité professionnelle entre les femmes et les hommes, qui était censé régler ce problème ? Est-il résolu ? Que nenni ! ",mais la question mérite d'être posée. vous nous avez déjà fait le coup de l'index sur un autre sujet majeur  où en est l'index de l'égalité professionnelle entre les femmes et les hommes qui était censé régler ce problème  estil résolu  que nenni ,"[{'label': 'anger', 'score': 0.5233365893363953}]"
Laurent Croizier,MODEM,"
Il ne parle pas des amendements ! ",il ne parle pas des amendements ,"[{'label': 'anger', 'score': 0.4670731723308563}]"
Ugo Bernalicis,LFI,"
Si cet index servait à quelque chose, le problème du financement des retraites ne se poserait pas, puisque les femmes seraient payées autant que les hommes et que le montant des cotisations serait plus élevé. Mais peut-être, monsieur le ministre êtes-vous trop… comment le dire ? Trop tête en l'air ? ",si cet index servait à quelque chose le problème du financement des retraites ne se poserait pas puisque les femmes seraient payées autant que les hommes et que le montant des cotisations serait plus élevé. mais peutêtre monsieur le ministre êtesvous trop… comment le dire  trop tête en l'air ,"[{'label': 'anger', 'score': 0.8169054985046387}]"
Ugo Bernalicis,LFI,"
Vous êtes peut-être sur le banc de touche… ",vous êtes peutêtre sur le banc de touche…,"[{'label': 'joy', 'score': 0.4864143133163452}]"
Valérie Rabault,SOC,"
Monsieur Bernalicis ! ",monsieur bernalicis ,"[{'label': 'anger', 'score': 0.6653525233268738}]"
Ugo Bernalicis,LFI,"
Ah, vous avez sifflé hors-jeu, madame la présidente ! ",ah vous avez sifflé horsjeu madame la présidente ,"[{'label': 'anger', 'score': 0.5316975712776184}]"
Valérie Rabault,SOC,"
Non, il vous reste du temps de parole. Cependant, nous éviterons les commentaires. ",non il vous reste du temps de parole. cependant nous éviterons les commentaires.,"[{'label': 'anger', 'score': 0.5485100746154785}]"
Ugo Bernalicis,LFI,"
Je vais vous dire ce que je pense : cet index est une arnaque, qui vise à faire avaler la pilule de cette réforme, indécente et injuste. ",je vais vous dire ce que je pense  cet index est une arnaque qui vise à faire avaler la pilule de cette réforme indécente et injuste.,"[{'label': 'anger', 'score': 0.9429009556770325}]"
Ugo Bernalicis,LFI,"
Plusieurs députés de la majorité sont allés sur les plateaux de la télévision pour expliquer qu'elle était injuste, mais nécessaire… ",plusieurs députés de la majorité sont allés sur les plateaux de la télévision pour expliquer qu'elle était injuste mais nécessaire…,"[{'label': 'joy', 'score': 0.6121627688407898}]"
Valérie Rabault,SOC,"
Merci, monsieur le député. ",merci monsieur le député.,"[{'label': 'anger', 'score': 0.7273461222648621}]"
Valérie Rabault,SOC,"
La parole est à M. Sébastien Peytavie. ",la parole est à m. sébastien peytavie.,"[{'label': 'joy', 'score': 0.6325567960739136}]"
Sébastien Peytavie,ECO,"
Cette réforme implique un changement de société profond. Comme vous l'avez souligné, monsieur Petit, l'adhésion est nécessaire, tout comme l'est le temps long, afin d'installer cet index et de le rendre efficace. Or cette réforme raccourcit le temps… ",cette réforme implique un changement de société profond. comme vous l'avez souligné monsieur petit l'adhésion est nécessaire tout comme l'est le temps long afin d'installer cet index et de le rendre efficace. or cette réforme raccourcit le temps…,"[{'label': 'joy', 'score': 0.8236038088798523}]"
Ugo Bernalicis,LFI,"
Ah non, on ne parle pas de raccourcir ! ",ah non on ne parle pas de raccourcir ,"[{'label': 'joy', 'score': 0.8606346249580383}]"
Sébastien Peytavie,ECO,"
…et l'accélération du calendrier concerne aussi bien le nombre d'annuités exigées que le rehaussement de l'âge légal. Le temps nécessaire manque, c'est ce qui rend la réforme si profondément violente pour beaucoup de personnes et empêche totalement l'adhésion. Manifestement, vous ne parvenez pas à l'entendre.Pour faire advenir un tel modèle de société, il faut du temps. Par ailleurs, sans contraintes fortes, ce ne sera pas possible. ",…et l'accélération du calendrier concerne aussi bien le nombre d'annuités exigées que le rehaussement de l'âge légal. le temps nécessaire manque c'est ce qui rend la réforme si profondément violente pour beaucoup de personnes et empêche totalement l'adhésion. manifestement vous ne parvenez pas à l'entendre.pour faire advenir un tel modèle de société il faut du temps. par ailleurs sans contraintes fortes ce ne sera pas possible.,"[{'label': 'joy', 'score': 0.4738903045654297}]"
Valérie Rabault,SOC,"
La parole est à Mme Laure Lavalette. ",la parole est à mme laure lavalette.,"[{'label': 'joy', 'score': 0.6635541915893555}]"
Laure Lavalette,RN,"
Je voudrais comparer l'index avec l'obligation d'employer 6 % de salariés porteurs de handicap. Il est intéressant de constater que, malgré les sanctions, seules 30 % des entreprises satisfont à cette obligation ; 30 % préfèrent même payer des sanctions et n'employer aucune personne porteuse de handicap. On voit comme c'est efficace.Ainsi, la création de l'index contraindra un peu davantage les entreprises, sans parvenir au résultat espéré. Avant l'index de l'égalité professionnelle, 25 % des entreprises respectaient la parité entre les hommes et les femmes ; désormais elles sont 27 %. Cela ne sert à rien. En revanche, son déploiement augmentera encore les normes administratives, qui étouffent déjà les entreprises. Celles-ci se trouveront dans une situation de plus en plus absurde.Finalement, monsieur le ministre, quand vous n'avez rien à proposer, vous présentez soit un numéro vert, soit un index.Je m'inquiète un peu. Nous sommes déjà vendredi soir et nous n'avons toujours pas avancé. On blablate, on pérore – on perd du temps. Il est temps d'examiner enfin l'article 7 et de parler de ce qui intéresse vraiment les Français, l'obligation de travailler deux années supplémentaires à cause de cette réforme injuste et illégitime. Chez collègues de la NUPES, je vous demande de retirer tous vos amendements, afin que nous puissions examiner l'article 7. ",je voudrais comparer l'index avec l'obligation d'employer   de salariés porteurs de handicap. il est intéressant de constater que malgré les sanctions seules   des entreprises satisfont à cette obligation ;   préfèrent même payer des sanctions et n'employer aucune personne porteuse de handicap. on voit comme c'est efficace.ainsi la création de l'index contraindra un peu davantage les entreprises sans parvenir au résultat espéré. avant l'index de l'égalité professionnelle   des entreprises respectaient la parité entre les hommes et les femmes ; désormais elles sont  . cela ne sert à rien. en revanche son déploiement augmentera encore les normes administratives qui étouffent déjà les entreprises. cellesci se trouveront dans une situation de plus en plus absurde.finalement monsieur le ministre quand vous n'avez rien à proposer vous présentez soit un numéro vert soit un index.je m'inquiète un peu. nous sommes déjà vendredi soir et nous n'avons toujours pas avancé. on blablate on pérore – on perd du temps. il est temps d'examiner enfin l'article  et de parler de ce qui intéresse vraiment les français l'obligation de travailler deux années supplémentaires à cause de cette réforme injuste et illégitime. chez collègues de la nupes je vous demande de retirer tous vos amendements afin que nous puissions examiner l'article ,"[{'label': 'anger', 'score': 0.59553062915802}, {'label': 'joy', 'score': 0.6176499128341675}, {'label': 'anger', 'score': 0.5258044004440308}]"
Farida Amrani,LFI,"
Vous n'avez qu'à voter la suppression de l'article 2 ! ",vous n'avez qu'à voter la suppression de l'article  ,"[{'label': 'anger', 'score': 0.9583935737609863}]"
Émilie Bonnivard,LR,"
Parlons enfin des vrais sujets ! ",parlons enfin des vrais sujets ,"[{'label': 'joy', 'score': 0.45022228360176086}]"
Valérie Rabault,SOC,"
La parole est à M. Robin Reda. ",la parole est à m. robin reda.,"[{'label': 'joy', 'score': 0.8395421504974365}]"
Robin Reda,REN,"
Le groupe La France insoumise n'est pas à une incohérence près ; depuis le début des débats, nous y sommes habitués. ",le groupe la france insoumise n'est pas à une incohérence près ; depuis le début des débats nous y sommes habitués.,"[{'label': 'joy', 'score': 0.9269605278968811}]"
Robin Reda,REN,"
Monsieur Bernalicis, vous avez employé l'expression « en même temps ». Vous voulez des retraités plus jeunes, donc plus pauvres. En effet, nous l'avons bien montré, vouloir la retraite à 60 ans pour tous, c'est vouloir des pensions minimales et des salaires plus bas. ",monsieur bernalicis vous avez employé l'expression « en même temps ». vous voulez des retraités plus jeunes donc plus pauvres. en effet nous l'avons bien montré vouloir la retraite à  ans pour tous c'est vouloir des pensions minimales et des salaires plus bas.,"[{'label': 'joy', 'score': 0.6745778322219849}]"
Sophia Chikirou,LFI,"
Avec vous ce sera les deux : travailler plus pour gagner moins ! ",avec vous ce sera les deux  travailler plus pour gagner moins ,"[{'label': 'joy', 'score': 0.5294814109802246}]"
Robin Reda,REN,"
En même temps, vous dites que l'index seniors ne va pas assez loin et qu'il faut encourager l'emploi des seniors le plus longtemps possible. Nous, nous sommes cohérents. Comme l'a fort justement dit le ministre, nous faisons confiance au dialogue social et aux branches professionnelles pour définir, selon les métiers, les notions d'âge et d'expérience.Deux ans après la création de l'index de l'égalité professionnelle dans les entreprises, que vous aviez aussi contesté, l'écart de salaire entre hommes et femmes, à poste équivalent et à compétences égales, est passé de 9 % à 5 %. ",en même temps vous dites que l'index seniors ne va pas assez loin et qu'il faut encourager l'emploi des seniors le plus longtemps possible. nous nous sommes cohérents. comme l'a fort justement dit le ministre nous faisons confiance au dialogue social et aux branches professionnelles pour définir selon les métiers les notions d'âge et d'expérience.deux ans après la création de l'index de l'égalité professionnelle dans les entreprises que vous aviez aussi contesté l'écart de salaire entre hommes et femmes à poste équivalent et à compétences égales est passé de   à  .,"[{'label': 'joy', 'score': 0.8978694081306458}]"
Robin Reda,REN,"
Vous pouvez pérorer, ça ne changera rien à l'affaire : nous agissons et ça se voit ! ",vous pouvez pérorer ça ne changera rien à l'affaire  nous agissons et ça se voit ,"[{'label': 'anger', 'score': 0.8488039374351501}]"
Valérie Rabault,SOC,"
La parole est à M. Arthur Delaporte. ",la parole est à m. arthur delaporte.,"[{'label': 'joy', 'score': 0.5727357268333435}]"
Arthur Delaporte,SOC,"
La série d'amendements dont nous discutons a le mérite de révéler une chose : cet index est flou. ",la série d'amendements dont nous discutons a le mérite de révéler une chose  cet index est flou.,"[{'label': 'joy', 'score': 0.9275970458984375}]"
Sophia Chikirou,LFI,"
Quand c'est flou, y a un loup ! ",quand c'est flou y a un loup ,"[{'label': 'anger', 'score': 0.9754603505134583}]"
Arthur Delaporte,SOC,"
Ce flou se retrouve d'ailleurs dans l'étude d'impact, notamment à la page 23 ; il y est précisé que la mesure a pour objectif d'améliorer l'insertion et le maintien des seniors dans l'emploi, de diminuer leur taux de chômage et d'augmenter leur activité.Monsieur le ministre, vous allez pouvoir nous répondre ; nous étions un peu dans le flou en commission. ",ce flou se retrouve d'ailleurs dans l'étude d'impact notamment à la page  ; il y est précisé que la mesure a pour objectif d'améliorer l'insertion et le maintien des seniors dans l'emploi de diminuer leur taux de chômage et d'augmenter leur activité.monsieur le ministre vous allez pouvoir nous répondre ; nous étions un peu dans le flou en commission.,"[{'label': 'joy', 'score': 0.5973876118659973}]"
Arthur Delaporte,SOC,"
Quel est votre objectif ? Quel sera l'impact de cet index sur l'emploi des seniors ? Qu'entend-on par « seniors » ? Quel sera l'impact de cet index sur l'emploi des femmes, plus nombreuses à se retrouver en dehors de l'emploi ? Pour éclairer la représentation nationale, j'aimerais que vous nous précisiez l'impact et les objectifs, si possible chiffrés, de cet index. Nous manquons de chiffres et nous nageons dans le flou ; s'il vous plaît, éclairez-nous ! ",quel est votre objectif  quel sera l'impact de cet index sur l'emploi des seniors  qu'entendon par « seniors »  quel sera l'impact de cet index sur l'emploi des femmes plus nombreuses à se retrouver en dehors de l'emploi  pour éclairer la représentation nationale j'aimerais que vous nous précisiez l'impact et les objectifs si possible chiffrés de cet index. nous manquons de chiffres et nous nageons dans le flou ; s'il vous plaît éclaireznous ,"[{'label': 'joy', 'score': 0.8031289577484131}]"
Valérie Rabault,SOC,"
La parole est à M. Pierre Dharréville. ",la parole est à m. pierre dharréville.,"[{'label': 'joy', 'score': 0.418645441532135}]"
Pierre Dharréville,GDR,"
Nous en sommes convaincus : cet index, tel qu'il est proposé, ne sert à rien. Il est très imprécis et non contraignant ; il n'aura donc aucun effet.D'une part, vous allez forcer les seniors au chômage à travailler tout en leur supprimant plus rapidement qu'avant les allocations chômage, qui procèdent pourtant du travail – le droit au chômage est créé par le travail. D'autre part, vous demandez aux entreprises de fournir des statistiques. Ce « deux poids, deux mesures » est inacceptable et ne peut donner de résultats concrets.Il faut mieux protéger l'ensemble des travailleuses et travailleurs ; les plus expérimentés, évidemment… ",nous en sommes convaincus  cet index tel qu'il est proposé ne sert à rien. il est très imprécis et non contraignant ; il n'aura donc aucun effet.d'une part vous allez forcer les seniors au chômage à travailler tout en leur supprimant plus rapidement qu'avant les allocations chômage qui procèdent pourtant du travail – le droit au chômage est créé par le travail. d'autre part vous demandez aux entreprises de fournir des statistiques. ce « deux poids deux mesures » est inacceptable et ne peut donner de résultats concrets.il faut mieux protéger l'ensemble des travailleuses et travailleurs ; les plus expérimentés évidemment…,"[{'label': 'joy', 'score': 0.555389404296875}, {'label': 'joy', 'score': 0.7672644853591919}]"
Sylvain Maillard,REN,"
Évidemment ! ",évidemment ,"[{'label': 'joy', 'score': 0.847625732421875}]"
Pierre Dharréville,GDR,"
…mais aussi les jeunes, qui rencontrent parfois des difficultés à intégrer les entreprises, soit parce qu'ils ne sont pas assez expérimentés, soit parce qu'on leur propose un statut d'autoentrepreneur, leur faisant ainsi supporter le risque et les faisant entrer dans l'emploi par la petite porte.À l'inverse de cette nécessaire protection, votre première mesure en arrivant au pouvoir en 2017 a consisté à signer les ordonnances travail, qui ont détricoté le code du travail et retiré des protections pour les salariés, y compris pour les seniors. ",…mais aussi les jeunes qui rencontrent parfois des difficultés à intégrer les entreprises soit parce qu'ils ne sont pas assez expérimentés soit parce qu'on leur propose un statut d'autoentrepreneur leur faisant ainsi supporter le risque et les faisant entrer dans l'emploi par la petite porte.à l'inverse de cette nécessaire protection votre première mesure en arrivant au pouvoir en  a consisté à signer les ordonnances travail qui ont détricoté le code du travail et retiré des protections pour les salariés y compris pour les seniors.,"[{'label': 'anger', 'score': 0.5519846677780151}]"
Pierre Dharréville,GDR,"
Il n'y a pas de cohérence dans votre politique publique, ce qui constitue un sérieux problème.Nous contestons l'efficacité de cet index, mais nous allons défendre plusieurs propositions pour en préciser les objectifs, le rendre plus contraignant et organiser de véritables négociations. Nous sommes toutefois très loin du compte et toutes ces propositions ne suffiraient pas à rendre acceptables les deux ans supplémentaires que vous imposez par cette réforme. ",il n'y a pas de cohérence dans votre politique publique ce qui constitue un sérieux problème.nous contestons l'efficacité de cet index mais nous allons défendre plusieurs propositions pour en préciser les objectifs le rendre plus contraignant et organiser de véritables négociations. nous sommes toutefois très loin du compte et toutes ces propositions ne suffiraient pas à rendre acceptables les deux ans supplémentaires que vous imposez par cette réforme.,"[{'label': 'anger', 'score': 0.7577030658721924}]"
Valérie Rabault,SOC,"
La parole est à M. Jean-Paul Mattei. ",la parole est à m. jeanpaul mattei.,"[{'label': 'joy', 'score': 0.4910675287246704}]"
Jean-Paul Mattei,MODEM,"
Moi qui suis un senior, je pense que cet outil est utile. La difficulté consiste à maintenir les seniors dans l'entreprise, car il leur est compliqué de retrouver un emploi lorsqu'ils en sortent. Les entreprises hésitent souvent à embaucher un senior, pour différentes raisons – notamment d'intégration dans les équipes. Nous avons un là un bon outil pour maintenir les seniors dans l'entreprise. Faisons confiance… ",moi qui suis un senior je pense que cet outil est utile. la difficulté consiste à maintenir les seniors dans l'entreprise car il leur est compliqué de retrouver un emploi lorsqu'ils en sortent. les entreprises hésitent souvent à embaucher un senior pour différentes raisons – notamment d'intégration dans les équipes. nous avons un là un bon outil pour maintenir les seniors dans l'entreprise. faisons confiance…,"[{'label': 'joy', 'score': 0.6017557978630066}]"
Sophia Chikirou,LFI,"
À l'entreprise ! ",à l'entreprise ,"[{'label': 'anger', 'score': 0.6609337329864502}]"
Jean-Paul Mattei,MODEM,"
…à la négociation avec les partenaires sociaux. ",…à la négociation avec les partenaires sociaux.,"[{'label': 'joy', 'score': 0.5647956132888794}]"
Ugo Bernalicis,LFI,"
Vous êtes grand senior ! ",vous êtes grand senior ,"[{'label': 'joy', 'score': 0.8953600525856018}]"
Jean-Paul Mattei,MODEM,"
Les branches s'intéressent à cet outil de façon très pragmatique ; laissons-le évoluer dans le temps. Peu importe la définition précise de l'âge ; ce qui est essentiel, c'est le transfert de l'expérience des seniors aux plus jeunes, par le tutorat. Nous sommes au cœur de la transition intergénérationnelle dans les entreprises. Une entreprise est une matière vivante ; on y échange.Un débat existe sur le nombre de salariés à partir duquel instaurer cet index. Dans les petites entreprises, le dialogue avec les salariés est permanent. Dans les plus grandes, l'index est nécessaire parce qu'il est un peu contraignant et qu'il aura un impact sur l'image de l'entreprise. En tout état de cause, je pense que c'est un outil utile. ",les branches s'intéressent à cet outil de façon très pragmatique ; laissonsle évoluer dans le temps. peu importe la définition précise de l'âge ; ce qui est essentiel c'est le transfert de l'expérience des seniors aux plus jeunes par le tutorat. nous sommes au cœur de la transition intergénérationnelle dans les entreprises. une entreprise est une matière vivante ; on y échange.un débat existe sur le nombre de salariés à partir duquel instaurer cet index. dans les petites entreprises le dialogue avec les salariés est permanent. dans les plus grandes l'index est nécessaire parce qu'il est un peu contraignant et qu'il aura un impact sur l'image de l'entreprise. en tout état de cause je pense que c'est un outil utile.,"[{'label': 'joy', 'score': 0.5994834303855896}, {'label': 'joy', 'score': 0.4962957501411438}]"
Valérie Rabault,SOC,"
La parole est à Mme Stéphanie Rist, rapporteure. ",la parole est à mme stéphanie rist rapporteure.,"[{'label': 'joy', 'score': 0.6435615420341492}]"
Stéphanie Rist,REN,"
Vous dites qu'il y a un loup ; un flou, pardon ! ",vous dites qu'il y a un loup ; un flou pardon ,"[{'label': 'joy', 'score': 0.48869022727012634}]"
Arthur Delaporte,SOC,"
Il y a quand même un loup ! ",il y a quand même un loup ,"[{'label': 'anger', 'score': 0.9905871748924255}]"
