intervenant,parti,intervention
Sylvain Maillard,REN,"
Il a raison ! "
Thibault Bazin,LR,"
Nous devrions, au contraire, adopter une approche différenciée et équitable en facilitant le cumul emploi-retraite et la retraite progressive. "
Fabien Di Filippo,LR,"
Bonne idée ! "
Thibault Bazin,LR,"
L'article 2, qui vise à instaurer un index seniors, me laisse sceptique car ce n'est pas cet outil qui améliorera l'emploi des seniors. Le groupe LR estime qu'il faut créer les conditions de l'employabilité des seniors mais cela passe par des contrats spécifiques incitatifs, par des départs progressifs facilitant la transmission des connaissances, par une simplification du cumul emploi-retraite, par la prévention de l'usure ou encore par la préparation de la reconversion. Tout cela ne se met pas en place à un âge déterminé mais de manière progressive, tout au long de la carrière.Certaines de ces mesures, que nous aimerions voir adoptées, ne relèvent pas, hélas, d'un PLFRSS, un projet de loi de financement rectificative de la sécurité sociale. L'alinéa 4 de l'article prévoit que « l'employeur prend en compte un objectif d'amélioration de l'embauche et du maintien en activité des salariés âgés ». Très concrètement, que mettez-vous derrière ces mots, monsieur le ministre ? Comment accompagne-t-on le travailleur qui est déjà dans une entreprise et souhaiterait y rester mais aussi le demandeur d'emploi qui voudrait trouver du travail ou encore l'employeur qui aimerait recruter un senior ? Ce qui est sûr, c'est que ce n'est pas en instaurant un index seniors. "
Sébastien Chenu,RN,"
La parole est à M. Nicolas Turquois. "
Nicolas Turquois,MODEM,"
Cette série d'amendements identiques est très critique – je l'entends. Existe-t-il en France un problème de taux d'emploi des seniors ? Assurément, oui. Est-il préjudiciable pour notre système de retraites ? Oui. L'index peut-il être utile ? Oui, car il place la question de l'emploi des seniors au centre de l'actualité médiatique. Est-il suffisant ? Non, il faut aller beaucoup plus loin en matière d'incitation mais aussi en développant d'autres mécanismes comme la retraite progressive. À cet égard, le témoignage de M. Cabrolier au sujet d'une usine dans laquelle il s'est rendu avec M. le ministre me semble intéressant. De même, la question du cumul emploi-retraite ou celle de l'arrivée à l'âge de la retraite en bonne santé doivent être étudiées.Cela suppose cependant de discuter du fond des questions. Or, vous vous contentez de la forme et de la provocation. Je ne suis pas votre conseiller mais je peux vous dire que ce n'est pas vous qui tirerez profit de l'excès politique dont vous faites preuve. "
Clémence Guetté,LFI,"
On verra bien ! "
Matthias Tavel,LFI,"
Pas à vous non plus ! "
Nicolas Turquois,MODEM,"
Écoutez ce qui se dit sur le terrain.Notre système par répartition est menacé "
Nicolas Turquois,MODEM,"
et le montant des pensions va s'écrouler. Une manière de résoudre ce problème, c'est de traiter la question de l'emploi des seniors. Retirez vos amendements de forme,… "
Nathalie Oziol,LFI,"
Retirez le projet de loi ! "
Nicolas Turquois,MODEM,"
…discutons sur le fond, avançons et venons-en aux sujets majeurs comme l'âge et les conditions du départ ou encore le cumul emploi-retraite. Ainsi, nous accomplirons un travail efficace pour nos concitoyens. "
Sébastien Chenu,RN,"
La parole est à M. Sébastien Jumel. "
Sébastien Jumel,GDR,"
En commission, nous avons démontré que votre index – ni contraignant, ni innovant, ni probant – n'apportait rien de plus par rapport au bilan social exigé dans les entreprises de plus de 300 salariés. "
Thibault Bazin,LR,"
C'est vrai, ça n'apporte rien ! "
Sébastien Jumel,GDR,"
Deuxièmement, 495 000 de nos concitoyens cumulent une retraite de misère et un emploi de misère. Je pense par exemple, dans ma circonscription, à ceux qui distribuent les prospectus, aux femmes de ménage rémunérées par un chèque emploi service universel ou encore aux décortiqueuses de coquilles. L'index seniors apporte-t-il une réponse concrète à cette réalité sociale ?Par ailleurs, vous avez réformé – et cassé – le droit du travail, en établissant par exemple un barème pour les indemnités de licenciement. Ce faisant, vous avez permis à des employeurs de calculer à l'avance ce que leur coûterait le licenciement de salariés, bien souvent les plus expérimentés, ceux qui ont le plus d'ancienneté et coûtent donc le plus cher – ceci justifiant le fait que les seniors font partie des charrettes de licenciement. L'index répond-il à ce problème ? Non, évidemment.Je vous reconnais une certaine forme de cohérence puisque, parallèlement à ce projet de loi, vous avez réformé l'assurance chômage en réduisant la durée d'indemnisation. À cause de ces deux réformes, les seniors au chômage seront plus nombreux tandis que leur période d'indemnisation sera réduite. D'ailleurs, selon la Cnav, la Caisse nationale d'assurance vieillesse, cela représente un transfert de charges incommensurable.Enfin, l'index résout-il le problème de la nature des contrats proposés aux seniors, notamment celui de la localisation des nouveaux emplois ? En effet, si le poste qu'on vous propose – alors que vous êtes un senior, âgé de 60 ans – est moins bien payé que le précédent, précaire et situé à 80 kilomètres de votre domicile, le trouverez-vous attractif ?Vous n'avez répondu à aucune de ces questions en commission. Or nous avons développé des arguments de fond, ce qui nous a donné l'occasion de vous prendre en flagrant délit de réduction des droits, et ce toujours contre les mêmes – les plus faibles, les petits, ceux qui peinent à terminer leur carrière. "
Sébastien Chenu,RN,"
La parole est à M. Julien Bayou. "
Julien Bayou,ECO,"
Les collègues de la NUPES ont bien résumé la situation : nous sommes face à une hypocrisie totale. Il s'agit d'un article d'affichage visant – si vous me permettez l'expression – à faire passer la pilule des deux ans supplémentaires. Il en allait de même avec le mirage des 1 200 euros de pension minimum.Si je parle de mesure d'affichage, c'est aussi parce que les entreprises – il faut en convenir – exercent une discrimination à l'encontre des seniors. À cela s'ajoute le mensonge car vous avez l'intention de ne rien faire. Comme à chaque fois, votre objectif est de ne jamais rien réclamer aux entreprises. Vous êtes durs avec les faibles et faibles avec les puissants.On reste ainsi dans une logique productiviste consistant à jeter les seniors lorsqu'on estime qu'ils sont moins compétents. Vous parlez souvent de la valeur travail alors qu'en réalité vous tolérez le statu quo dans ce domaine, c'est-à-dire la pénibilité, le productivisme et le fait de se débarrasser des seniors lorsqu'ils sont un tout petit peu moins productifs.Nous vous proposons des mesures réellement contraignantes. Puisqu'elles ne vous plaisent pas, gagnons du temps. Venons-en au cœur du débat et de votre action : les deux ans ferme que vous réclamez pour l'ensemble de la population. "
Marine Le Pen,RN,"
Retirez vos amendements ! "
Julien Bayou,ECO,"
Vous dites vous prévaloir du monde du travail. Écoutez-le donc lorsqu'il exprime son refus de la réforme. "
Aurore Bergé,REN,"
Retirez vos amendements ! "
Sylvain Maillard,REN,"
Retirez vos amendements ! "
Sophia Chikirou,LFI,"
Retirez votre réforme ! "
Sébastien Chenu,RN,"
La parole est à Mme Aurélie Trouvé. "
Aurélie Trouvé,LFI,"
Exerçant le métier de chercheuse en économie,… "
Jocelyn Dessigny,RN,"
Elle cherche des économies mais n'a toujours rien trouvé ! "
Aurélie Trouvé,LFI,"
…je lis souvent mes confrères et consœurs. Je vous citerai deux économistes dont vous ne devriez pas pouvoir dire qu'ils sont particulièrement favorables au programme de la NUPES. Le premier, Jean-Hervé Lorenzi – président, comme vous le savez, du Cercle des économistes –, estime qu'il faut avant tout ramener vers l'emploi les 825 000 seniors, ce qui suffirait pour sauver le système des retraites. "
Aurélie Trouvé,LFI,"
Or vous faites absolument l'inverse en pondant une réforme qui va aggraver le chômage, en particulier celui des jeunes et des seniors.Vous précisez que l'index permettra d'« objectiver » la place des seniors – à la bonne heure ! – alors qu'on sait que son utilité est nulle ou quasi-nulle. D'ailleurs, disposez-vous d'une seule étude économique crédible, scientifique, indiquant que cet index est efficace pour changer le comportement des entreprises ? "
Aurélie Trouvé,LFI,"
Au passage, monsieur Dussopt, je me permets de vous signaler que le nombre de morts au travail par an n'est pas de 650 mais de 1 200 selon le rapport annuel de l'assurance maladie, un chiffre en augmentation depuis dix ans "
Aurélie Trouvé,LFI,"
Autre économiste, Patrick Artus – comme vous le savez, directeur de la recherche et des études de Natixis – a qualifié la réforme d'« inefficace », expliquant que « de nombreuses personnes âgées » se retrouveraient au chômage.Vous le voyez, même parmi les économistes qui, d'habitude, défendent vos réformes, certains – si je puis dire – battent en retraite. "
Aurélie Trouvé,LFI,"
Vous n'êtes décidément crédibles pour personne.Si vous souhaitez néanmoins gagner une once de crédibilité, vous pouvez répondre à deux questions, monsieur le ministre. La première nous taraude depuis plusieurs semaines : combien de personnes bénéficieront, avec votre réforme, de la retraite revalorisée à 1 200 euros bruts ? "
Aurélie Trouvé,LFI,"
Deuxièmement, puisque Mme la Première ministre nous a dit en janvier que les retraités recevraient près de 1 200 euros bruts par mois dès lors qu'ils ont cotisé toute leur vie, cette mesure concernera-t-elle également ceux qui ont cotisé à temps partiel ? "
Sébastien Chenu,RN,"
La parole est à M. Guillaume Gouffier Valente. "
Guillaume Gouffier Valente,REN,"
Tout d'abord, je veux préciser aux collègues de La France insoumise qu'aucune voix ne leur a été volée par l'Assemblée nationale. "
Guillaume Gouffier Valente,REN,"
Celle-ci n'a fait que sanctionner un collègue de votre groupe qui avait tranquillement appelé à la décapitation d'un ministre de la République. "
Thibault Bazin,LR,"
Restez sur le contenu de l'amendement ! "
Guillaume Gouffier Valente,REN,"
Il est inadmissible que vous continuiez à défendre ce comportement. "
Manuel Bompard,LFI,"
Et l'amendement ? Vous ne parlez pas de l'amendement ? "
Guillaume Gouffier Valente,REN,"
Ensuite, les amendements identiques que vous venez de présenter témoignent uniquement de votre résignation face à la lutte contre les inégalités.Or nous ne pouvons nous résoudre à accepter les inégalités dans notre pays. Tel est le sens de notre action depuis 2017, en particulier lorsque nous nous battons pour réduire les inégalités salariales entre les femmes et les hommes. Contrairement à ce qui a été dit, l'index de l'égalité professionnelle porte ses fruits, comme l'a rappelé Robin Reda vendredi soir. "
Sylvain Maillard,REN,"
Eh oui ! "
Guillaume Gouffier Valente,REN,"
En deux ans, à poste et à compétences égaux, les écarts de salaires sont passés de 9 à 5 %. "
Dino Cinieri,LR,"
Parlez du contenu de l'amendement ! "
Guillaume Gouffier Valente,REN,"
D'autre part, vous vous résignez face à la lutte contre le chômage. Or nous ne pouvons nous résoudre à constater encore un tel taux de chômage dans notre pays. Tel est le sens de l'action que nous menons depuis 2017 pour l'emploi, y compris celui des seniors. Un tel combat nécessite des outils. "
Rodrigo Arenas,LFI,"
La radiation ? "
Guillaume Gouffier Valente,REN,"
Le renforcement du dispositif de cumul emploi-retraite, le développement des retraites progressives ou encore, bien sûr, l'index seniors, en font partie. Ce dernier, qui sera construit avec les partenaires sociaux, fera ses preuves – nous en sommes certains. "
Clémence Guetté,LFI,"
Les syndicats n'en veulent pas ! Ils disent que c'est bidon ! "
Guillaume Gouffier Valente,REN,"
Enfin, je note que dix amendements identiques viennent d'être présentés mais qu'à aucun moment le fond n'a été évoqué. Vous ne dupez personne. Vous ne voulez pas que nous débattions de l'ensemble des questions abordées dans le projet de loi ni que nous arrivions au vote. "
Rodrigo Arenas,LFI,"
Il fallait la faire, celle-là ! "
Guillaume Gouffier Valente,REN,"
Retirez vos amendements pour que nous puissions débattre et voter de façon transparente devant les Français. "
Antoine Léaument,LFI,"
Retirez vos mensonges ! "
Sébastien Chenu,RN,"
La parole est à M. Christophe Naegelen. "
Christophe Naegelen,LIOT,"
La retraite progressive, dispositif que les entreprises mettent en place de plus en plus souvent, permet à une personne de 60 ans de demander à son employeur de travailler à 50 % ou encore à 70 % du temps complet. Cependant, plutôt que d'obliger le salarié à attendre que son entreprise lui accorde cette possibilité, pourquoi une telle mesure ne deviendrait-elle pas de droit ? De nombreux salariés formulent en effet cette demande. J'ajoute que, le salarié étant payé à hauteur de ces 50 % ou 70 %, l'entreprise a la possibilité d'embaucher une personne, ce qui favorise la transmission des connaissances.Par ailleurs, s'agissant de la rupture conventionnelle, il faut admettre que ce sont les grandes entreprises qui ont le plus profité de ce dispositif , "
Christophe Naegelen,LIOT,"
notamment celles qui sont cotées. La raison est simple : elles étaient en mesure de proposer un gros chèque et de permettre à des personnes d'un certain âge de partir à la retraite en bénéficiant de trois ans de chômage, payés par la solidarité nationale. Un problème se pose donc avec le recul de deux ans de l'âge de la retraite : quid de ces personnes qui pensaient pouvoir partir à la retraite à 62 ans et qui verront celle-ci repoussée de quelques mois ? Vous devez impérativement faire en sorte que ces grandes entreprises ne puissent plus avoir recours à ce dispositif, payé par la solidarité nationale.J'en arrive enfin à l'index seniors, qui fait l'objet de l'article 2. J'ai entendu ces jours-ci dans les médias que vous souhaitiez abaisser le seuil d'application de cet outil en le faisant passer des entreprises de 300 salariés à celles de 50 salariés. C'est une erreur fondamentale. Il ne faut pas confondre les entreprises de 50 salariés… "
Sébastien Chenu,RN,"
Monsieur le député, je vous remercie. "
Christophe Naegelen,LIOT,"
Je termine, monsieur le président ! "
Sébastien Chenu,RN,"
Je crois que vous avez terminé.La parole est à M. François Gernigon. "
François Gernigon,HOR,"
Lorsqu'on parle du travail des seniors, il faut d'abord remettre l'église au centre du village et évoquer les vraies questions.Parmi les seniors que je compte dans mon entourage, je vous parlerai de Luc. Il ne s'agit pas d'une personne que j'ai croisée par hasard : c'est mon frère.Luc a été apprenti mécanicien à l'âge de 16 ans, il est devenu routier, commençant par faire du régional, ensuite de l'international ; il arrive à 60 ans et n'a pas envie d'arrêter de travailler. Il a donc demandé à son employeur de faire autre chose, et il intervient désormais dans un organisme de formation où il enseigne aux jeunes routiers les meilleures attitudes de conduite, pour faire des économies de consommation de carburant par exemple.Je citerai un second cas, celui d'une association, dans ma circonscription, qui s'appelle L'Outil en Main, dont ne sont membres que des personnes retraitées qui prennent plaisir à y accueillir des collégiens pour leur apprendre ce qui relève du savoir faire : monter un mur, poser du carrelage ou mettre en place une toiture – il y a une charpente miniature dans l'atelier.Moult seniors, qu'ils exercent des métiers physiques ou des métiers intellectuels, ne demandent qu'à transmettre leur savoir-faire. Il y a là vraiment quelque chose à faire : mettons-nous autour de la table et ayons un débat de fond pour aller en ce sens. "
Sébastien Chenu,RN,"
La parole est à M. Boris Vallaud. "
Boris Vallaud,SOC,"
Un certain nombre de collègues souhaitent un débat de fond et chacun des amendements est aussi un temps de parole supplémentaire pour essayer d'aller au fond des choses. "
Boris Vallaud,SOC,"
Laissez-moi terminer, chers collègues. J'ai bien compris que vous n'étiez pas désireux, vous non plus visiblement, de beaucoup avancer – du moins n'en faites-vous pas la démonstration – mais j'ai des questions précises parce que nous abordons le cœur de la réforme. Plusieurs économistes disent qu'une augmentation de 10 % du taux d'emploi des seniors nous dispenserait d'une mesure d'âge : pourquoi n'avoir pas commencé par une loi portant sur la question du vieillissement au travail, de la prévention de la pénibilité et de l'augmentation du temps d'emploi des seniors,… "
Nicolas Sansu,GDR,"
Il a raison ! "
Boris Vallaud,SOC,"
…d'où nous aurions éventuellement pu conclure s'il fallait ou non cette réforme des retraites, dont je pressens qu'elle ne se serait pas avérée nécessaire ? Quel est le taux d'emploi des seniors, notamment des femmes, que vous escomptez après ce report de deux ans du départ de l'âge à la retraite ? Quelle est l'incidence sur leur santé de ce report de deux ans et qu'attendez-vous des mesures de prévention de la pénibilité sur le taux d'emploi des seniors et sur la santé au travail ? Voilà des questions extrêmement précises qui nous permettraient de débattre mais, à votre attitude, je vois qu'elles n'intéressent que celui qui les pose. "
Benjamin Lucas,ECO,"
Excellent ! "
Sébastien Chenu,RN,"
La parole est à M. le ministre. "
Boris Vallaud,SOC,"
Il n'y a donc pas besoin de réforme ! "
Fabien Di Filippo,LR,"
C'est de l'incantation ! "
Sophia Chikirou,LFI,"
Ce sont aussi des accidents du travail ! "
Sébastien Chenu,RN,"
Je suis saisi de deux amendements, n° 16733  et 737 et d'une série d'amendements identiques n° 1098 , 1197 , 1346 , 1995 , 2156 , 3174 , 3204 , 4045 , 5210 , 5979 , 13006  et 20281 , pouvant être soumis à une discussion commune.Sur les amendements n° 16733  et 737 , je suis saisi par les groupes Renaissance et Écolo – NUPES d'une demande de scrutin public, ainsi que sur les amendements identiques n° 1098  et suivants par le groupe La France insoumise-Nouvelle Union populaire, écologique et sociale.Les scrutins sont annoncés dans l'enceinte de l'Assemblée nationale.La parole est à M. Sébastien Peytavie, pour soutenir l'amendement n° 16733 . "
Sébastien Peytavie,ECO,"
Seul un tiers des seniors de 60 à 64 ans est en emploi, 60 % des chômeurs de longue durée ont plus de 55 ans, 16 % des seniors ne sont ni en emploi ni en retraite. "
Benjamin Lucas,ECO,"
Eh oui ! "
Sébastien Peytavie,ECO,"
Vous ne pouvez décemment pas affirmer que vous comptez mener la bataille de l'emploi des seniors avec comme seule arme un index, lequel ressemble davantage à un formulaire qui ne froissera pas trop le patronat qu'à un véritable plan de bataille pour l'emploi des seniors.Par cet amendement de réécriture de l'article 2, nous réaffirmons que non, nous ne baisserons pas les bras, et que nous prônons un index seniors qui devienne un outil réellement ambitieux de lutte contre l'âgisme qui gangrène le monde du travail. Nous proposons ainsi que les sanctions aient lieu non seulement en cas de non-publication mais également en cas de résultats insuffisants. "
Benjamin Lucas,ECO,"
Exactement ! "
Sébastien Peytavie,ECO,"
Car là est le cœur de la bataille pour l'emploi des seniors. Arrêtons de demander gentiment aux entreprises de bien traiter nos aînés : sanctionnons-les avec des amendes suffisamment élevées et adaptées à la taille des entreprises, soit 3 % de la masse salariale pour les PME, 7 % pour les entreprises de taille intermédiaire et 17 % pour les grandes entreprises. "
Sébastien Peytavie,ECO,"
C'est pour nous le strict minimum pour espérer obtenir un changement. Je note que Mme la Première ministre a affirmé la semaine dernière être favorable à des sanctions en cas de mauvais résultats et à une extension du dispositif aux entreprises d'au moins cinquante salariés. Nous l'avons proposé et le faisons à nouveau. Il ne reste maintenant à la majorité qu'à respecter ses engagements. "
Sébastien Chenu,RN,"
La parole est à M. Mickaël Bouloux, pour soutenir l'amendement n° 737 . "
Mickaël Bouloux,SOC,"
L'emploi des seniors est une priorité, bien qu'elle ne figure manifestement pas dans les préoccupations des partis présidentiels. "
Clémence Guetté,LFI,"
C'est clair ! "
Fabien Di Filippo,LR,"
Il faudrait aussi parler des minima sociaux qui dissuadent de reprendre une activité ! "
Mickaël Bouloux,SOC,"
Pourtant, et nous ne le dirons jamais assez, la vraie réforme des retraites, c'est la réforme de l'emploi des seniors et certainement pas deux ans ferme. "
Mickaël Bouloux,SOC,"
Il est encore temps – c'est un avis de sagesse – de retirer cette réforme. Repartons sur des bases saines pour ne parler que de l'emploi des seniors. "
Mickaël Bouloux,SOC,"
Cet amendement, qui pourrait être repris dans un futur projet de loi, permettrait de renforcer les outils mis à disposition de nos entreprises pour qu'elles puissent proposer à leurs salariés les plus âgés un accès à la formation continue, une meilleure qualité de vie au travail ainsi qu'une adaptation du poste et du temps de travail. Revoir le travail des seniors, c'est aussi réinventer le travail de demain pour toutes et tous. Afin que l'emploi des seniors soit un enjeu dont toutes les entreprises se saisissent, nous proposons de fixer des objectifs pragmatiques et d'assortir le non-respect de l'index de sanctions éventuelles, en corrélation avec la taille de l'entreprise.Cet amendement que les socialistes présentent est donc bien ancré dans le réel en ce qu'il considère que les grosses entreprises disposent d'une capacité plus importante à proposer un index des seniors qui revête une dimension qualitative et pas seulement quantitative. Alors que le Gouvernement fait preuve par sa réforme des retraites de dureté à l'encontre des plus faibles… "
Benjamin Lucas,ECO,"
De brutalité, même ! "
Mickaël Bouloux,SOC,"
…et de douceur envers les plus forts, notre amendement propose, lui, de soutenir davantage nos petites entreprises et d'être plus exigeant avec les plus grandes afin que ce soit ces dernières qui donnent l'exemple pour encourager l'emploi des seniors. "
Mickaël Bouloux,SOC,"
Monsieur le ministre, il va falloir vraiment nous dire quels sont vos objectifs. Dites-nous quel taux vous escomptez pour l'emploi des seniors dans dix ans et dans quinze ans, et pour les femmes, car il n'y a rien là-dessus dans l'étude d'impact ! "
Benjamin Lucas,ECO,"
Excellent ! "
Sébastien Chenu,RN,"
La parole est à M. François Ruffin, pour soutenir l'amendement n° 1098 . "
François Ruffin,LFI,"
Les seniors et l'ensemble des Français n'attendent pas un index, mais seulement que votre promesse soit tenue : 1 200 euros ! "
Nicolas Sansu,GDR,"
Exactement ! "
François Ruffin,LFI,"
M. Riester avait tweeté : « Pas moins de 1 200 euros. » M. Olivier Véran, porte-parole du Gouvernement, avait déclaré : « Le minimum de pension va être augmenté de 100 euros par mois. » Mme Borne avait dit : « Une augmentation de 100 euros par mois, c'est près de 1 200 euros dès cette année. » "
François Ruffin,LFI,"
M. Bruno Le Maire : « La retraite minimum à 1 200 euros. » M. Sylvain Maillard ici présent, a dit que la majorité voulait porter le minimum de pension à 1 200 euros. "
Sylvain Maillard,REN,"
Pour une carrière complète ! "
François Ruffin,LFI,"
M. Olivier Dussopt, ministre ici présent : « Nous allons revaloriser dès le mois de septembre 2023 de 100 euros par mois les retraites les plus basses pour atteindre près de 1 200 euros par mois. » "
François Ruffin,LFI,"
Mais avec vous, il y a un avant et un après, tout devient ensuite beaucoup plus compliqué : on découvre qu'il faut une carrière complète et à temps plein ! Avec M. Olivier Véran, c'est beaucoup de mousse et pas grand-chose derrière.Maintenant, je suis presque obligé de faire le service après-vente du Gouvernement. Les auxiliaires de vie qui viennent à moi me disent : « Bon sang ! Je dois travailler deux ans de plus et je ne sais pas si je vais toucher 1 200 euros par mois à la retraite ! » Alors on fait le calcul ; il y a des articles qui sont parus… Au mieux, elles vont être augmentées en moyenne de 25 euros par mois. Deux questions se posent à vous, monsieur Dussopt – je vois que vous secouez la tête, l'air de dire « non, non, non ! ». Pour quel montant allez-vous augmenter les auxiliaires de vie et combien d'entre elles seront concernées ? "
François Ruffin,LFI,"
L'Institut des politiques publiques (IPP) prévoit une augmentation de 38 euros en moyenne. Dites-nous combien ! "
Sarah Legrain,LFI,"
Oui, combien ? "
François Ruffin,LFI,"
Maintenant, on veut la vérité des prix ! Arrêtez de mentir, à nous et aux Français, cessez d'être insincère ! J'insiste, nous voulons connaître le montant de la revalorisation – relevez le nez de vos papiers, monsieur Dussopt ! "
Sébastien Chenu,RN,"
La parole est à M. Andy Kerbrat, pour soutenir l'amendement n° 1197 . "
Andy Kerbrat,LFI,"
Je vais essayer de faire preuve d'empathie à votre égard, monsieur le ministre. À quoi servira votre index ? "
Sarah Legrain,LFI,"
À rien, sauf à se cacher derrière ! "
Andy Kerbrat,LFI,"
Quelle solution apporte-t-il, vu qu'il n'impose aucune sanction aux entreprises qui ne respectent pas des critères que vous ne définissez même pas ? Nous, les députés du groupe La France insoumise, formons une opposition constructive qui souhaite améliorer les conditions réelles de travail et d'emploi des seniors.Monsieur le ministre, vous et votre majorité avez une responsabilité et un bilan. En 2017, les seniors représentaient 51 % des accidents au travail ; en 2019, ils en représentaient 59 % ! "
Andy Kerbrat,LFI,"
Voilà de quoi vous êtes responsables, après un quinquennat qui a vu se multiplier le nombre de morts au travail ! Quant aux incapacités des seniors liées au travail et aux accidents du travail, elles ont augmenté de 39 %. Au lieu de supprimer les CHSCT et d'aggraver les conditions de travail de nos seniors, nous vous demandons de nous présenter un véritable index – et un pas un majeur ! "
Sébastien Chenu,RN,"
La parole est à Mme Ersilia Soudais, pour soutenir l'amendement n° 1346 . "
Ersilia Soudais,LFI,"
Honorable président, honorables collègues – je vous qualifie d'« honorables », comme le font nos homologues sénégalais, que j'ai rencontrés récemment dans le cadre d'une mission interparlementaire. S'ils parlent ainsi, c'est parce qu'ils estiment, en tant qu'élus, qu'ils doivent être à la hauteur de ce qualificatif. De la même façon, j'aimerais, dans cet hémicycle, que nous soyons tous honorables. Mais vous êtes loin de l'être, chers collègues de la majorité, car l'hypocrisie est votre marque de fabrique ! "
Ersilia Soudais,LFI,"
L'article 2 en est une nouvelle illustration : vous prétendez défendre une retraite minimum de 1 200 euros pour tous et vous soucier de l'employabilité des seniors ; « en même temps », cette disposition ne garantit nullement aux seniors qu'ils trouveront un emploi.Rappelons que 63 % des salariés âgés de 44 à 55 ans en recherche d'emploi n'ont pas été sollicités par des recruteurs au cours des six derniers mois, contre 26 % des salariés entre 18 et 34 ans – c'est dire si la tâche est loin d'être aisée. "
Ersilia Soudais,LFI,"
Je veux vous parler d'un monsieur rencontré à Précy-sur-Marne qui, comme beaucoup, a été victime de la crise du covid et peine depuis à retrouver un emploi. Il n'attend plus qu'une chose, sa retraite, car c'est elle qui le délivrera de recherches infructueuses. Il pensait la voir arriver, mais le voilà suspendu au caprice du Gouvernement. Éreinté, il attend de connaître l'issue du vote pour savoir s'il va encore en prendre pour un an.Il ne suffit pas de dire que l'on se soucie des seniors pour se montrer crédible, de la même façon qu'il ne suffit pas de se dire « Charlie » pour défendre la liberté d'expression. "
Ersilia Soudais,LFI,"
De ce point de vue, vous vous êtes déshonorés la semaine dernière. Il ne suffit pas non plus de se dire féministe pour réellement lutter en faveur du droit des femmes – j'en suis la preuve vivante, quand on voit ce que vous nous faites subir. "
Ersilia Soudais,LFI,"
Votre mesure pour les seniors est un pansement sur une jambe de bois. Il est donc crucial de cesser toute hypocrisie et de tirer les leçons du passé. Si vous vous souciez réellement des seniors, faites en sorte que les dernières années qui précèdent la retraite ne soient pas des années de galère, tant du point de vue de l'emploi que de la santé. "
Ersilia Soudais,LFI,"
Si vous avez trouvé mon discours trop long, osez imaginer… "
Sébastien Chenu,RN,"
Merci, honorable collègue ! "
Sébastien Chenu,RN,"
La parole est à Mme Clémentine Autain, pour soutenir l'amendement n° 1995 . "
Clémentine Autain,LFI,"
Vous voulez transformer les deux meilleures années de la retraite en les deux pires années de travail. "
Clémentine Autain,LFI,"
C'est d'une violence manifeste et inouïe pour toutes celles et ceux qui occupent des emplois physiquement éprouvants et psychiquement difficiles. "
Caroline Parmentier,RN,"
Fallait pas voter Macron ! "
Clémentine Autain,LFI,"
C'est aussi d'une grande violence pour toutes celles et ceux qui sont au chômage. Aujourd'hui, 63 % des 44 -55 ans en recherche d'emploi n'ont pas été sollicités par des recruteurs au cours des six derniers mois, contre 26 % des 18-34 ans. Une personne sur trois n'est pas en emploi à 59, 60 et 61 ans. Vous avez donc imaginé un index seniors qui n'est qu'un instrument de mesure, et aucunement un outil contraignant. La réalité, c'est que vous allez paupériser et précariser les salariés en fin de carrière. Vous n'inventez qu'une forme de goodies, si j'ose dire – une sucrerie, en quelque sorte – pour faire avaler la pilule et vous espérez que les Français accepteront l'immense régression que vous leur imposez.Vous avez raconté qu'il n'y aurait pas, en contrepartie, de pension inférieure à 1 200 euros, sans dire qu'il s'agissait d'un montant brut et qu'il fallait une carrière complète. Vous avez donc sciemment menti aux Français ! "
Benjamin Lucas,ECO,"
Encore des bobards ! "
Clémentine Autain,LFI,"
Monsieur le ministre, je vous pose la même question que mes collègues : combien de personnes seront concernées par ces 1 200 euros ? "
Clémentine Autain,LFI,"
Si votre réforme est adoptée, 4,3 millions de retraités seront toujours en-dessous des 1 200 euros. Pouvez-vous confirmer ce chiffre ? Le cas échéant, êtes-vous capable de nous dire combien de personnes pourront bénéficier de ce petit goody ? "
Benjamin Lucas,ECO,"
Arrêtez les bobards ! "
Sébastien Chenu,RN,"
La parole est à M. Christophe Bex, pour soutenir l'amendement n° 2156 . "
Christophe Bex,LFI,"
Monsieur le ministre, il est louable que vous vous intéressiez aux seniors. Mais, à mon avis, vous commettez une erreur d'appréciation. Vous vous embêtez avec des index et des textes. Moi, je vais vous donner une solution : laissez simplement les seniors partir à la retraite à 60 ans. "
Christophe Bex,LFI,"
En outre, votre erreur d'appréciation tient au fait que vous semblez considérer que la retraite, ce n'est pas du travail. Entre le travail subordonné et le travail libre, voilà le fond du problème. De nombreux retraités travaillent – ils ne regardent pas tous « Inspecteur Derrick » à la télé. "
Maxime Minot,LR,"
« Inspecteur Derrick » ne passe plus à la télévision depuis 1992 au moins ! "
Christophe Bex,LFI,"
Sachez qu'en France, un président de région sur deux et un maire sur deux sont retraités. "
Christophe Bex,LFI,"
Ce sont bien ces personnes qui permettent à la société de tenir debout. Parmi les spectateurs qui sont venus à l'Assemblée assister à cette séance, il y a beaucoup de retraités qui ont pu partir à la retraite à 55, 56, 57 ou 60 ans. "
Christophe Bex,LFI,"
S'ils avaient dû partir à 64 ans, ils ne seraient pas en tribune aujourd'hui ! "
